id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
18019,IL44,heliport,Arrow Heliport,42.40340042,-88.18759918,738,NA,US,US-IL,Fox Lake,no,IL44,,IL44,,,
18020,IL45,small_airport,Busboom Airport,40.31110001,-88.01529694,780,NA,US,US-IL,Gifford,no,IL45,,IL45,,,
18021,IL46,small_airport,Brooks Ranch Airport,40.46670151,-91.03350067,700,NA,US,US-IL,Burnside,no,IL46,,IL46,,,
18022,IL47,heliport,Lincoln Land Community College Heliport,39.72309875,-89.60430145,580,NA,US,US-IL,Springfield,no,IL47,,IL47,,,
18023,IL49,closed,Braidwood National Park Service Heliport,41.241695,-88.230301,602,NA,US,US-IL,Godley,no,,,,,,IL49
13313,IL50,heliport,Memorial Hospital Heliport,40.4092108,-91.1334756,653,NA,US,US-IL,Carthage,no,IL50,,IL50,,,
18024,IL51,small_airport,Aero Acres Airport,41.0381012,-88.33750153,645,NA,US,US-IL,Campus,no,IL51,,IL51,,,
18025,IL52,small_airport,Williams Airport,40.43920135,-91.14399719,679,NA,US,US-IL,Carthage,no,IL52,,IL52,,,
18026,IL53,closed,Lung Restricted Landing Area,40.461201,-91.073799,617,NA,US,US-IL,Carthage,no,,,,,,IL53
18027,IL54,small_airport,Richmond Airport,40.34420013,-90.44280243,680,NA,US,US-IL,Table Grove,no,IL54,,IL54,,,
18028,IL55,closed,Andrew RLA Restricted Landing Area Airport,40.160301,-88.304497,810,NA,US,US-IL,Champaign,no,,,,,,IL55
18029,IL56,small_airport,Mc Culley Airport,40.22029877,-88.25370026,750,NA,US,US-IL,Champaign,no,IL56,,IL56,,,
18030,IL57,small_airport,Cottonwood Airport,40.42200089,-89.02059937,765,NA,US,US-IL,Bloomington,no,IL57,,IL57,,,
18031,IL58,closed,Aero Four Airport,41.4361,-88.248702,600,NA,US,US-IL,Channahon,no,,,,,,IL58
18032,IL59,small_airport,Chicago Glider Club Gliderport,41.43199921,-88.24729919,590,NA,US,US-IL,Channahon,no,IL59,,IL59,,,
18033,IL60,closed,Chatsworth Restricted Landing Area,40.743099,-88.291198,742,NA,US,US-IL,Chatsworth,no,,,,,,IL60
18034,IL61,heliport,Vienna Correctional Center Heliport,37.39759827,-88.77420044,510,NA,US,US-IL,Grantsburg,no,IL61,,IL61,,,
18035,IL62,closed,Munch Heliport,42.422001,-88.730698,900,NA,US,US-IL,Chemung,no,,,,,,IL62
18036,IL63,small_airport,Mays Aviation Airport,40.70000076,-88.67510223,720,NA,US,US-IL,Chenoa,no,IL63,,IL63,,,
18037,IL64,small_airport,Martin Airport,40.18059921,-89.50009918,558,NA,US,US-IL,Lincoln,no,IL64,,IL64,,,
18038,IL65,small_airport,M.A.M Trail Airport,41.00500107,-90.70850372,605,NA,US,US-IL,Little York,no,IL65,,IL65,,,
18039,IL67,heliport,Big Muddy Correctional Facility Heliport,38.12979889,-88.90480042,425,NA,US,US-IL,Ina,no,IL67,,IL67,,,
18040,IL68,closed,Mill Rose Farm Restricted Landing Area,42.077202,-88.159798,850,NA,US,US-IL,Chicago/Barrington,no,,,,,,IL68
18041,IL69,heliport,First Area Police Hdqtrs Heliport,41.79999924,-87.62779999,600,NA,US,US-IL,Chicago,no,IL69,,IL69,,,
18042,IL70,heliport,Wgn-Tv Heliport,41.94829941,-87.69329834,591,NA,US,US-IL,Chicago,no,IL70,,IL70,,,
18043,IL71,small_airport,Dury Estates Airport,37.81919861,-89.15219879,395,NA,US,US-IL,Hurst,no,IL71,,IL71,,,
18044,IL72,closed,Entwistle Airport,41.115601,-89.0448,700,NA,US,US-IL,Lostant,no,,,,,,IL72
18045,IL73,heliport,St Elizabeth's Hospital Heliport,38.509683,-89.988515,564,NA,US,US-IL,Belleville,no,,,,,,IL73
18046,IL74,closed,Rose Packing County Heliport,41.802799,-87.766196,613,NA,US,US-IL,Chicago,no,,,,,,IL74
18047,IL75,heliport,John H. Stroger Hospital of Cook County Heliport,41.87480164,-87.67340088,593,NA,US,US-IL,Chicago,no,IL75,,IL75,,,
18048,IL76,closed,Marcor Heliport,41.896098,-87.642303,1047,NA,US,US-IL,Chicago,no,,,,,,IL76
18049,IL77,heliport,Advocate Christ Medical Center Heliport,41.723174,-87.73276,619,NA,US,US-IL,Chicago (Oak Lawn),no,IL77,,IL77,,,
18050,IL78,small_airport,Benoit Airport,41.1310997,-87.79229736,660,NA,US,US-IL,Kankakee,no,IL78,,IL78,,,
18051,IL79,heliport,Presence Resurrection Medical Center Heliport,41.986354,-87.814996,663,NA,US,US-IL,Chicago,no,IL79,,IL79,,,
323224,IL80,small_airport,Flying Illini Airport,40.108167,-88.683132,710,NA,US,US-IL,De Land,no,IL80,,IL80,,,
18053,IL81,small_airport,Berns Airport,40.93610001,-88.04170227,658,NA,US,US-IL,Clifton,no,IL81,,IL81,,,
18054,IL82,small_airport,Martin RLA Restricted Landing Area,40.10950089,-88.8286972,725,NA,US,US-IL,Clinton,no,IL82,,IL82,,,
18055,IL83,closed,Mulderink Heliport,41.4786,-87.589798,665,NA,US,US-IL,South Chicago Heights,no,,,,,,IL83
18056,IL84,small_airport,Douglas Airport,40.57640076,-91.10289764,650,NA,US,US-IL,Colusa,no,IL84,,IL84,,,
18057,IL85,closed,Midwestern Regional Medical Center Heliport,42.448634,-87.827979,711,NA,US,US-IL,Zion,no,,,,,,IL85
18058,IL86,small_airport,Krohe Airport,39.93619919,-90.46679688,450,NA,US,US-IL,Beardstown,no,IL86,,IL86,,,
18059,IL87,small_airport,W Davis Airport,41.71110153,-89.11229706,930,NA,US,US-IL,Compton,no,IL87,,IL87,,,
18060,IL88,small_airport,Earl Barnickel Airport,41.67499924,-89.1167984,929,NA,US,US-IL,Compton,no,IL88,,IL88,,,
18061,IL89,heliport,St Mary Medical Center - Galesburg Heliport,40.98669815,-90.36139679,790,NA,US,US-IL,Galesburg,no,IL89,,IL89,,,
18062,IL90,heliport,Nordic Heliport,42.35829926,-87.88749695,700,NA,US,US-IL,Gurnee,no,IL90,,IL90,,,
